"BOX HILL
(N-E METRO)",RAW,,,,,,,"BOX HILL
(N-E METRO)",SYNTHETIC,,,,,,
Middle ring,ALP,LNP,GRN,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,PrefRow
"MILL PARK
(N-E METRO)",RAW,,,,,,,"MILL PARK
(N-E METRO)",SYNTHETIC,,,,,,
Outer Metro,ALP,LNP,GRN,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,PrefRow
Index,1,2,3,4,5,15,,Index,1,2,3,4,5,6,15
ALP,0.00%,0.00%,0.00%,0.00%,0.00%,,,ALP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LNP,0.00%,0.00%,0.00%,0.00%,0.00%,,,LNP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
GRN,64.80%,13.40%,0.00%,0.00%,21.80%,,,GRN,61.56%,12.73%,0.00%,5.00%,0.00%,20.71%,100.00%
IND,0.00%,0.00%,0.00%,0.00%,0.00%,,,ON,12.00%,58.00%,5.00%,0.00%,6.00%,19.00%,100.00%
OTH,33.48%,66.52%,0.00%,0.00%,0.00%,,,IND,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,OTH,16.74%,33.26%,0.00%,50.00%,0.00%,0.00%,100.00%
,,,,,,,,,,,,,,,
"BRUNSWICK
(N METRO)",RAW,,,,,,,"BRUNSWICK
(N METRO)",SYNTHETIC,,,,,,
Inner Ring,ALP,LNP,GRN,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,PrefRow
Index,1,2,3,4,5,16,,Index,1,2,3,4,5,6,16
ALP,0.00%,0.00%,0.00%,0.00%,0.00%,,,ALP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LNP,34.22%,0.00%,65.78%,0.00%,0.00%,,,LNP,27.37%,0.00%,52.63%,20.00%,0.00%,0.00%,100.00%
GRN,0.00%,0.00%,0.00%,0.00%,0.00%,,,GRN,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
IND,31.83%,29.41%,11.45%,0.00%,27.31%,,,ON,12.00%,53.00%,5.00%,0.00%,10.00%,20.00%,100.00%
OTH,17.48%,9.57%,72.95%,0.00%,0.00%,,,IND,27.05%,24.99%,9.74%,15.00%,0.00%,23.22%,100.00%
,,,,,,,,OTH,12.24%,6.70%,51.07%,30.00%,0.00%,0.00%,100.00%
,,,,,,,,,,,,,,,
"NORTHCOTE
(N METRO)",RAW,,,,,,,"NORTHCOTE
(N METRO)",SYNTHETIC,,,,,,
Inner Ring,ALP,LNP,GRN,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,PrefRow
Index,1,2,3,4,5,17,,Index,1,2,3,4,5,6,17
ALP,0.00%,0.00%,0.00%,0.00%,0.00%,,,ALP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LNP,39.15%,0.00%,60.85%,0.00%,0.00%,,,LNP,31.32%,0.00%,48.68%,20.00%,0.00%,0.00%,100.00%
GRN,0.00%,0.00%,0.00%,0.00%,0.00%,,,GRN,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
IND,6.22%,7.69%,26.68%,0.00%,59.41%,,,ON,12.00%,53.00%,5.00%,0.00%,10.00%,20.00%,100.00%
OTH,20.28%,20.82%,58.89%,0.00%,0.00%,,,IND,5.29%,6.54%,22.68%,15.00%,0.00%,50.50%,100.00%
,,,,,,,,OTH,14.20%,14.57%,41.23%,30.00%,0.00%,0.00%,100.00%
,,,,,,,,,,,,,,,
"MELBOURNE
(N METRO)",RAW,,,,,,,"MELBOURNE
(N METRO)",SYNTHETIC,,,,,,
Inner Ring,ALP,LNP,GRN,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,PrefRow
Index,1,2,3,4,5,18,,Index,1,2,3,4,5,6,18
